# Constructed from biom file
#OTU ID	SRR26800545	SRR26800546	SRR26800547	SRR26800548	SRR26800549	SRR26800550	SRR26800551	SRR26800552	SRR26800553	SRR26800554	SRR26800555	SRR26800556	SRR26800557	SRR26800558	SRR26800559	SRR26800560	SRR26800561	SRR26800562	SRR26800563	SRR26800564	SRR26800565	SRR26800566	SRR26800567	SRR26800568	SRR26800569	SRR26800570	SRR26800571	SRR26800572	SRR26800573	SRR26800574	SRR26800575	SRR26800576	SRR26800577	SRR26800578	SRR26800579	SRR26800580	SRR26800581	SRR26800582	SRR26800583	SRR26800584	SRR26800585	SRR26800586	SRR26800587	SRR26800588	SRR26800589	SRR26800590	SRR26800591	SRR26800592	SRR26800593	SRR26800594	SRR26800595	SRR26800596	SRR26800597	SRR26800598	SRR26800599	SRR26800600	SRR26800601	SRR26800602	SRR26800603	SRR26800604	SRR26800605	SRR26800606	SRR26800607	SRR26800608	SRR26800609	SRR26800610
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella;__	3608.0	3299.0	1552.0	883.0	4276.0	255.0	1081.0	2101.0	590.0	6558.0	742.0	1367.0	3460.0	2695.0	1863.0	3004.0	555.0	13727.0	396.0	489.0	514.0	767.0	1194.0	929.0	4825.0	1941.0	2580.0	23439.0	13512.0	966.0	1909.0	654.0	2491.0	14423.0	1187.0	406.0	745.0	3143.0	1459.0	25678.0	3327.0	15928.0	1450.0	18982.0	1457.0	2180.0	215.0	11751.0	987.0	8391.0	1755.0	991.0	5019.0	644.0	8533.0	5936.0	2672.0	8839.0	6767.0	1584.0	148.0	970.0	936.0	818.0	1084.0	289.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;__	5952.0	7545.0	5530.0	4056.0	4258.0	4597.0	15016.0	20062.0	3202.0	1687.0	7140.0	3922.0	2313.0	11864.0	13830.0	3434.0	4990.0	4454.0	21817.0	10982.0	6343.0	2856.0	7278.0	2386.0	7458.0	11982.0	7391.0	7564.0	3032.0	3778.0	4210.0	11223.0	8977.0	1718.0	6395.0	2749.0	10476.0	5050.0	749.0	1554.0	5807.0	2346.0	12353.0	512.0	955.0	8097.0	2400.0	2098.0	1643.0	531.0	4777.0	4510.0	2221.0	3971.0	1879.0	269.0	1639.0	1771.0	1741.0	6505.0	19994.0	21033.0	14254.0	14750.0	6919.0	7646.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;__	19493.0	15399.0	27001.0	23222.0	15611.0	4033.0	9286.0	17592.0	4724.0	24789.0	5699.0	8891.0	7029.0	10270.0	12621.0	11227.0	15749.0	10859.0	15846.0	16761.0	13027.0	5586.0	9438.0	20805.0	5794.0	14511.0	26173.0	9323.0	7005.0	8471.0	16272.0	17271.0	5887.0	3482.0	17908.0	6002.0	3399.0	7335.0	13307.0	15046.0	13497.0	10660.0	9106.0	3962.0	19937.0	9659.0	4372.0	18751.0	5836.0	21738.0	12614.0	15454.0	11524.0	6910.0	19398.0	28610.0	5066.0	10116.0	8404.0	6221.0	1058.0	4857.0	12509.0	22322.0	9707.0	3273.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;__	235.0	106.0	9218.0	1818.0	1385.0	474.0	340.0	160.0	532.0	310.0	576.0	462.0	539.0	925.0	239.0	2247.0	645.0	1137.0	385.0	235.0	821.0	579.0	192.0	1696.0	226.0	1018.0	623.0	481.0	18846.0	5132.0	1046.0	362.0	4524.0	4000.0	3601.0	1258.0	259.0	12356.0	757.0	696.0	1885.0	1109.0	2054.0	375.0	3977.0	1582.0	13046.0	2709.0	18846.0	4154.0	5076.0	2221.0	665.0	2472.0	571.0	2061.0	3374.0	1681.0	2412.0	876.0	34.0	1614.0	1776.0	373.0	287.0	56.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;__	614.0	983.0	347.0	601.0	1801.0	2358.0	1976.0	159.0	574.0	199.0	866.0	4758.0	1285.0	987.0	3171.0	572.0	1626.0	3620.0	1877.0	1359.0	406.0	1145.0	383.0	855.0	2597.0	1234.0	1087.0	1637.0	715.0	1046.0	11882.0	1339.0	1101.0	407.0	1324.0	845.0	2560.0	127.0	159.0	324.0	287.0	825.0	805.0	103.0	135.0	1407.0	0.0	219.0	188.0	274.0	738.0	575.0	1260.0	774.0	215.0	111.0	113.0	433.0	817.0	718.0	0.0	3058.0	7549.0	431.0	8511.0	660.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;__	2034.0	902.0	1348.0	2284.0	1710.0	1708.0	1779.0	1739.0	9840.0	5848.0	9142.0	2956.0	599.0	2039.0	3265.0	663.0	1561.0	2193.0	928.0	1114.0	5524.0	2023.0	2713.0	2755.0	2021.0	1775.0	1784.0	1332.0	813.0	1912.0	2331.0	1178.0	2840.0	884.0	5557.0	929.0	2050.0	1392.0	703.0	621.0	548.0	2377.0	1157.0	228.0	1041.0	838.0	577.0	879.0	1181.0	1047.0	1308.0	1038.0	2694.0	5539.0	967.0	419.0	2293.0	992.0	1130.0	1197.0	2130.0	2204.0	1337.0	1691.0	1488.0	1906.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum;__	695.0	569.0	613.0	2200.0	1241.0	886.0	2118.0	6693.0	1081.0	385.0	5735.0	812.0	613.0	2071.0	1255.0	410.0	1670.0	1001.0	1109.0	714.0	4503.0	1883.0	927.0	3167.0	2103.0	1861.0	1006.0	755.0	393.0	2050.0	907.0	1231.0	1988.0	283.0	1948.0	255.0	1202.0	2022.0	527.0	2209.0	670.0	1296.0	1446.0	120.0	571.0	1642.0	0.0	848.0	1196.0	1124.0	1629.0	2117.0	4363.0	1944.0	3387.0	211.0	2924.0	779.0	1083.0	5227.0	4066.0	4280.0	2172.0	4046.0	1959.0	1312.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__;__	8705.0	2810.0	4084.0	3486.0	4131.0	2713.0	3749.0	2520.0	8201.0	1646.0	6537.0	4537.0	3846.0	4582.0	5415.0	9227.0	5310.0	7861.0	2598.0	3838.0	4167.0	3435.0	7717.0	3379.0	3959.0	3659.0	3373.0	3493.0	7191.0	3999.0	5098.0	3858.0	3710.0	1825.0	4229.0	3505.0	5919.0	3426.0	4840.0	3009.0	1763.0	3725.0	3704.0	981.0	2221.0	2905.0	5860.0	2898.0	3902.0	2819.0	3268.0	2671.0	10362.0	5320.0	2665.0	4698.0	1767.0	3477.0	3029.0	3601.0	2865.0	2873.0	3785.0	3615.0	5427.0	3015.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;__	180.0	0.0	184.0	269.0	144.0	30870.0	196.0	68.0	196.0	891.0	165.0	4963.0	0.0	91.0	72.0	330.0	71.0	59.0	1216.0	59.0	0.0	75.0	629.0	8.0	44.0	493.0	132.0	161.0	149.0	130.0	89.0	1277.0	315.0	14753.0	86.0	57.0	66.0	165.0	42.0	73.0	111.0	135.0	77.0	28.0	67.0	29.0	3521.0	26.0	43.0	198.0	102.0	55.0	11.0	40.0	70.0	42.0	489.0	27.0	19.0	47.0	0.0	207.0	108.0	64.0	0.0	390.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;__	1045.0	1960.0	178.0	305.0	377.0	1255.0	1967.0	755.0	1154.0	178.0	683.0	4553.0	556.0	1114.0	3363.0	498.0	1087.0	1015.0	1505.0	6221.0	850.0	671.0	1446.0	443.0	1047.0	2069.0	6043.0	2416.0	410.0	552.0	698.0	5307.0	913.0	366.0	1006.0	206.0	415.0	322.0	0.0	273.0	126.0	684.0	1433.0	132.0	0.0	205.0	0.0	343.0	231.0	206.0	439.0	752.0	566.0	1386.0	649.0	116.0	0.0	0.0	338.0	408.0	695.0	867.0	1771.0	802.0	405.0	1744.0
