# Constructed from biom file
#OTU ID	SRR5136859	SRR5136860	SRR5136861	SRR5136862	SRR5136863	SRR5136864	SRR5136865	SRR5136866	SRR5136867	SRR5136868	SRR5136869	SRR5136870	SRR5136871	SRR5136872	SRR5136873	SRR5136874	SRR5136875	SRR5136876
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;__	0.0	979.0	350.0	0.0	0.0	976.0	332.0	0.0	0.0	79.0	85.0	1336.0	778.0	480.0	40.0	31.0	304.0	303.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;__	0.0	305.0	453.0	1174.0	0.0	701.0	1962.0	581.0	292.0	0.0	374.0	420.0	0.0	282.0	489.0	0.0	1320.0	668.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gnavus_group;__	0.0	0.0	0.0	99.0	0.0	0.0	101.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	469.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;__	0.0	0.0	443.0	0.0	0.0	333.0	324.0	182.0	0.0	0.0	21.0	262.0	0.0	112.0	157.0	153.0	0.0	113.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium;__	0.0	0.0	186.0	313.0	0.0	65.0	0.0	428.0	136.0	490.0	86.0	0.0	0.0	0.0	71.0	19.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002;s__uncultured_bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	402.0	36.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister;__	293.0	0.0	55.0	0.0	381.0	48.0	0.0	0.0	17.0	0.0	133.0	0.0	0.0	0.0	0.0	0.0	0.0	147.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1060.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum;s__uncultured_bacterium	0.0	0.0	432.0	0.0	0.0	134.0	0.0	0.0	0.0	0.0	237.0	0.0	0.0	330.0	0.0	0.0	0.0	196.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__;__	0.0	137.0	42.0	67.0	0.0	82.0	180.0	590.0	324.0	0.0	61.0	17.0	52.0	214.0	0.0	47.0	0.0	128.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_salivarius	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	308.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;__	0.0	187.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	306.0	14.0	0.0	0.0	18.0	0.0	0.0	14.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;__	0.0	0.0	50.0	0.0	0.0	114.0	0.0	375.0	0.0	0.0	0.0	0.0	187.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella;__	0.0	0.0	0.0	0.0	0.0	67.0	44.0	0.0	491.0	0.0	0.0	0.0	0.0	195.0	0.0	19.0	33.0	95.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group;s__uncultured_spirochete	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	248.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Intestinibacter;__	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0	0.0	0.0	22.0	447.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group;__	0.0	178.0	0.0	0.0	0.0	67.0	0.0	0.0	0.0	0.0	0.0	236.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;__	0.0	224.0	0.0	0.0	0.0	0.0	197.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;__	0.0	0.0	61.0	0.0	0.0	0.0	51.0	222.0	0.0	0.0	0.0	86.0	0.0	0.0	0.0	0.0	74.0	21.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	64.0	0.0	0.0	52.0	217.0	172.0	0.0	139.0
