# Constructed from biom file
#OTU ID	SRR17519993	SRR17519994	SRR17519995	SRR17519996	SRR17519997	SRR17519998	SRR17519999	SRR17520000	SRR17520001	SRR17520002	SRR17520003	SRR17520004	SRR17520005	SRR17520006	SRR17520007	SRR17520008	SRR17520009	SRR17520010	SRR17520011	SRR17520012	SRR17520013	SRR17520014	SRR17520015	SRR17520016	SRR17520017	SRR17520018	SRR17520019	SRR17520020	SRR17520021	SRR17520022	SRR17520023	SRR17520024	SRR17520025	SRR17520026	SRR17520027	SRR17520028	SRR17520029	SRR17520030	SRR17520031	SRR17520032	SRR17520033	SRR17520034	SRR17520035	SRR17520036	SRR17520037	SRR17520038	SRR17520039	SRR17520040	SRR17520041	SRR17520042	SRR17520043	SRR17520044	SRR17520045	SRR17520046	SRR17520047	SRR17520048	SRR17520049	SRR17520050	SRR17520051	SRR17520052	SRR17520053	SRR17520054	SRR17520055	SRR17520056	SRR17520057	SRR17520058	SRR17520059	SRR17520060	SRR17520061	SRR17520062	SRR17520063	SRR17520064	SRR17520065	SRR17520066	SRR17520067	SRR17520068
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella;__	0.0	0.0	217.0	137.0	317.0	0.0	0.0	148.0	0.0	359.0	0.0	96.0	185.0	31.0	68.0	21.0	47.0	0.0	59.0	16.0	6.0	6.0	91.0	0.0	3.0	13.0	0.0	71.0	212.0	145.0	0.0	3.0	0.0	513.0	16.0	0.0	24.0	4.0	1040.0	0.0	172.0	79.0	177.0	352.0	43.0	877.0	75.0	4.0	405.0	227.0	0.0	0.0	175.0	4.0	3.0	770.0	1067.0	51.0	0.0	62.0	197.0	216.0	12.0	287.0	69.0	11.0	0.0	33.0	122.0	1109.0	0.0	12.0	3420.0	895.0	0.0	7.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;__	410.0	384.0	630.0	316.0	153.0	373.0	387.0	471.0	428.0	371.0	204.0	304.0	90.0	286.0	278.0	1871.0	887.0	401.0	140.0	62.0	1780.0	328.0	964.0	31.0	313.0	77.0	365.0	465.0	84.0	5.0	75.0	143.0	1145.0	520.0	353.0	0.0	835.0	434.0	190.0	234.0	824.0	224.0	563.0	425.0	14.0	215.0	295.0	63.0	799.0	139.0	291.0	155.0	23.0	106.0	370.0	212.0	0.0	114.0	429.0	173.0	632.0	93.0	392.0	94.0	526.0	1069.0	65.0	25.0	247.0	0.0	65.0	674.0	20.0	0.0	514.0	473.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;__	295.0	562.0	555.0	369.0	493.0	56.0	300.0	30.0	391.0	139.0	335.0	499.0	186.0	672.0	264.0	71.0	167.0	458.0	60.0	180.0	622.0	77.0	2174.0	31.0	97.0	60.0	206.0	198.0	91.0	659.0	13.0	84.0	82.0	124.0	179.0	0.0	1196.0	53.0	591.0	91.0	545.0	558.0	101.0	146.0	828.0	469.0	264.0	1861.0	1360.0	41.0	100.0	7.0	139.0	122.0	113.0	897.0	2422.0	1012.0	341.0	461.0	115.0	61.0	404.0	111.0	723.0	51.0	552.0	356.0	389.0	0.0	40.0	560.0	1754.0	133.0	233.0	345.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;__	0.0	0.0	0.0	26.0	92.0	1813.0	1171.0	1259.0	0.0	432.0	110.0	0.0	10.0	0.0	79.0	0.0	0.0	0.0	498.0	7.0	7.0	1027.0	0.0	88.0	308.0	0.0	0.0	207.0	558.0	0.0	0.0	0.0	729.0	647.0	110.0	0.0	0.0	468.0	0.0	74.0	0.0	0.0	1091.0	0.0	287.0	60.0	1271.0	0.0	0.0	436.0	538.0	1200.0	0.0	83.0	472.0	0.0	0.0	0.0	50.0	270.0	126.0	0.0	811.0	3.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	984.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_plebeius	285.0	0.0	0.0	130.0	0.0	10.0	245.0	20.0	72.0	111.0	74.0	240.0	58.0	310.0	19.0	21.0	392.0	0.0	150.0	21.0	3702.0	80.0	835.0	0.0	37.0	47.0	0.0	106.0	5.0	115.0	45.0	0.0	115.0	158.0	44.0	0.0	0.0	161.0	0.0	72.0	867.0	16.0	31.0	18.0	160.0	47.0	71.0	0.0	0.0	5.0	44.0	65.0	0.0	0.0	112.0	0.0	0.0	35.0	24.0	12.0	28.0	5.0	30.0	32.0	0.0	272.0	6.0	3.0	87.0	0.0	22.0	211.0	0.0	0.0	181.0	121.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_coprocola	0.0	269.0	0.0	15.0	28.0	0.0	0.0	0.0	17.0	40.0	0.0	165.0	74.0	5.0	0.0	0.0	257.0	0.0	0.0	0.0	2437.0	32.0	818.0	0.0	0.0	23.0	14.0	38.0	0.0	558.0	0.0	0.0	0.0	96.0	21.0	0.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1074.0	0.0	5.0	0.0	0.0	6.0	2.0	224.0	4.0	0.0	19.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	237.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;__	277.0	327.0	18.0	140.0	29.0	76.0	57.0	49.0	51.0	47.0	47.0	41.0	16.0	38.0	83.0	461.0	132.0	91.0	103.0	38.0	892.0	81.0	204.0	12.0	313.0	79.0	170.0	284.0	42.0	226.0	8.0	25.0	357.0	80.0	286.0	0.0	58.0	73.0	115.0	156.0	200.0	295.0	103.0	191.0	38.0	131.0	90.0	77.0	75.0	12.0	139.0	79.0	43.0	37.0	23.0	57.0	917.0	255.0	111.0	72.0	273.0	78.0	73.0	25.0	134.0	536.0	101.0	41.0	118.0	17.0	0.0	156.0	488.0	229.0	192.0	134.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;__	58.0	75.0	232.0	58.0	62.0	59.0	71.0	32.0	33.0	48.0	26.0	111.0	0.0	53.0	108.0	101.0	14.0	234.0	0.0	0.0	264.0	40.0	368.0	3.0	13.0	18.0	119.0	74.0	0.0	4.0	11.0	13.0	37.0	14.0	53.0	0.0	82.0	0.0	0.0	68.0	240.0	178.0	351.0	42.0	0.0	50.0	13.0	6.0	27.0	9.0	34.0	11.0	52.0	31.0	23.0	51.0	632.0	184.0	71.0	60.0	110.0	98.0	45.0	62.0	58.0	0.0	0.0	2.0	49.0	0.0	0.0	56.0	211.0	85.0	14.0	39.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;__	58.0	166.0	59.0	55.0	85.0	0.0	0.0	0.0	77.0	83.0	0.0	84.0	0.0	79.0	60.0	0.0	134.0	95.0	87.0	0.0	310.0	0.0	180.0	0.0	47.0	26.0	0.0	209.0	0.0	0.0	10.0	39.0	157.0	0.0	87.0	0.0	104.0	0.0	23.0	37.0	268.0	139.0	115.0	0.0	11.0	39.0	101.0	195.0	0.0	0.0	84.0	0.0	8.0	55.0	0.0	0.0	0.0	112.0	113.0	86.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	27.0	444.0	0.0	21.0	99.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__;__	224.0	0.0	0.0	32.0	118.0	0.0	0.0	172.0	0.0	50.0	0.0	0.0	0.0	309.0	25.0	0.0	0.0	0.0	0.0	0.0	246.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	138.0	0.0	9.0	0.0	185.0	463.0	54.0	0.0	23.0	7.0	0.0	0.0	25.0	0.0	0.0	13.0	106.0	0.0	0.0	0.0	789.0	0.0	14.0	401.0	6.0	0.0	0.0	31.0	36.0	0.0	155.0	0.0	97.0	34.0	23.0	0.0	0.0	0.0	102.0	97.0	27.0	38.0	0.0	28.0	82.0	256.0	6.0	18.0
