# Constructed from biom file
#OTU ID	SRR22990781	SRR22990782	SRR22990783	SRR22990784	SRR22990785	SRR22990786	SRR22990787	SRR22990788	SRR22990789	SRR22990790	SRR22990791	SRR22990792	SRR22990793	SRR22990794	SRR22990795	SRR22990796	SRR22990797	SRR22990798	SRR22990799	SRR22990800	SRR22990801	SRR22990802	SRR22990803	SRR22990804	SRR22990805	SRR22990806
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	12836.0	1334.0	17101.0	8778.0	6218.0	7395.0	2119.0	924.0	1260.0	16014.0	19435.0	2733.0	3165.0	2645.0	2929.0	23267.0	721.0	24856.0	2448.0	160.0	1218.0	3854.0	5223.0	16124.0	7423.0	10052.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	359.0	2224.0	3974.0	1424.0	29.0	1273.0	3304.0	560.0	3262.0	1371.0	352.0	3930.0	2882.0	2605.0	1635.0	3459.0	2003.0	66.0	2105.0	1849.0	6633.0	691.0	2288.0	535.0	449.0	1597.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	347.0	0.0	0.0	0.0	0.0	0.0	4415.0	0.0	0.0	0.0	977.0	1488.0	0.0	1471.0	157.0	3084.0	260.0	0.0	705.0	3215.0	0.0	395.0	185.0	236.0	700.0	617.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	50.0	12549.0	229.0	0.0	25.0	0.0	225.0	345.0	0.0	12.0	5957.0	0.0	123.0	81.0	145.0	1231.0	0.0	5816.0	104.0	0.0	23.0	0.0	28.0	484.0	73.0	101.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	0.0	228.0	0.0	0.0	0.0	0.0	0.0	166.0	0.0	6.0	39.0	0.0	0.0	0.0	0.0	92.0	0.0	1816.0	0.0	0.0	10487.0	0.0	0.0	27.0	0.0	89.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Megamonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29389.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	2584.0	0.0	105.0	3867.0	80.0	2108.0	5197.0	1676.0	1816.0	0.0	129.0	808.0	958.0	2287.0	1642.0	0.0	4910.0	0.0	5783.0	577.0	2095.0	173.0	3608.0	684.0	364.0	1146.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum	1462.0	0.0	165.0	848.0	97.0	316.0	2301.0	259.0	2260.0	0.0	151.0	1947.0	2825.0	2530.0	2877.0	0.0	1273.0	0.0	757.0	770.0	6288.0	246.0	224.0	0.0	714.0	779.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_hallii_group	111.0	831.0	8.0	432.0	43.0	1225.0	697.0	126.0	538.0	2395.0	844.0	1486.0	1286.0	1808.0	628.0	0.0	451.0	0.0	361.0	460.0	149.0	159.0	843.0	0.0	98.0	332.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group	524.0	4650.0	54.0	491.0	372.0	0.0	205.0	219.0	177.0	204.0	2012.0	300.0	191.0	422.0	469.0	144.0	856.0	0.0	228.0	71.0	0.0	65.0	176.0	244.0	171.0	295.0
