# Constructed from biom file
#OTU ID	SRR22990781	SRR22990782	SRR22990783	SRR22990784	SRR22990785	SRR22990786	SRR22990787	SRR22990788	SRR22990789	SRR22990790	SRR22990791	SRR22990792	SRR22990793	SRR22990794	SRR22990795	SRR22990796	SRR22990797	SRR22990798	SRR22990799	SRR22990800	SRR22990801	SRR22990802	SRR22990803	SRR22990804	SRR22990805	SRR22990806
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;__	12625.0	1334.0	17068.0	8459.0	6129.0	7395.0	1095.0	916.0	1260.0	16009.0	19435.0	2733.0	3165.0	2387.0	2590.0	23199.0	721.0	24856.0	2448.0	126.0	1218.0	3802.0	5223.0	16093.0	7370.0	9856.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;__	359.0	2224.0	3974.0	1424.0	29.0	1273.0	3304.0	560.0	3262.0	1240.0	352.0	3930.0	2880.0	2605.0	1635.0	3459.0	2003.0	66.0	2105.0	1849.0	6633.0	691.0	2251.0	459.0	449.0	1592.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;__	343.0	0.0	0.0	0.0	0.0	0.0	4409.0	0.0	0.0	0.0	977.0	1466.0	0.0	1471.0	157.0	3084.0	260.0	0.0	705.0	3207.0	0.0	395.0	185.0	236.0	643.0	614.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella;__	50.0	12549.0	229.0	0.0	25.0	0.0	225.0	345.0	0.0	12.0	5957.0	0.0	123.0	81.0	145.0	1231.0	0.0	5816.0	104.0	0.0	23.0	0.0	28.0	484.0	73.0	101.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;__	0.0	228.0	0.0	0.0	0.0	0.0	0.0	166.0	0.0	6.0	39.0	0.0	0.0	0.0	0.0	92.0	0.0	1816.0	0.0	0.0	10487.0	0.0	0.0	27.0	0.0	89.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Megamonas;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28039.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;__	2581.0	0.0	105.0	3867.0	80.0	2003.0	5133.0	1634.0	1789.0	0.0	129.0	805.0	942.0	2287.0	1637.0	0.0	4910.0	0.0	5755.0	562.0	2095.0	173.0	3550.0	590.0	360.0	1134.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum;s__uncultured_bacterium	0.0	0.0	161.0	85.0	0.0	184.0	572.0	125.0	487.0	0.0	0.0	467.0	206.0	945.0	1818.0	0.0	236.0	0.0	395.0	637.0	5194.0	71.0	146.0	0.0	338.0	357.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum;__	1462.0	0.0	4.0	763.0	97.0	132.0	1729.0	134.0	1773.0	0.0	151.0	1480.0	2619.0	1585.0	1059.0	0.0	1037.0	0.0	362.0	133.0	1094.0	175.0	78.0	0.0	376.0	422.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_hallii_group;__	111.0	831.0	8.0	432.0	43.0	1029.0	697.0	126.0	538.0	2271.0	844.0	1300.0	1150.0	1808.0	628.0	0.0	451.0	0.0	326.0	260.0	149.0	159.0	698.0	0.0	83.0	312.0
